Last Name/Surname	Total1	Asian and Pacific Islander2	Percentage3	Rank4	U.S. Rank5
CUARESMA	711	542	76.23%	2,294	32,365
HAKIM	3,165	541	17.09%	2,295	10,185
YAGI	670	541	80.75%	2,296	33,941
OZAKI	726	540	74.38%	2,297	31,790
CURTIS	101,801	540	0.53%	2,298	309
LEONARD	91,475	540	0.59%	2,299	338
DELATORRE	27,265	540	1.98%	2,300	1,288
LOPES	18,310	540	2.95%	2,301	1,976
XAVIER	3,367	539	16.01%	2,302	9,638
SWANSON	76,897	538	0.70%	2,303	424
HUSSEIN	7,182	538	7.49%	2,304	4,903
RAINA	641	538	83.93%	2,305	35,147
NEANG	577	538	93.24%	2,306	38,389
OSHIMA	664	537	80.87%	2,307	34,185
YON	2,969	537	18.09%	2,308	10,748
ARA	900	537	59.67%	2,309	26,949
ARROYO	50,614	537	1.06%	2,310	678
XAYAVONG	599	536	89.48%	2,311	37,229
IJAZ	580	536	92.41%	2,312	38,214
AKULA	571	536	93.87%	2,313	38,691
LYNN	37,644	535	1.42%	2,314	924
ROSAL	983	535	54.43%	2,315	25,202
NOORANI	716	535	74.72%	2,316	32,203
URBANO	4,368	534	12.23%	2,317	7,612
WATKINS	127,083	534	0.42%	2,318	240
ERICKSON	82,085	534	0.65%	2,319	389
ACUNA	16,683	534	3.20%	2,320	2,179
PHOMMACHANH	595	534	89.75%	2,321	37,442
VAID	585	533	91.11%	2,322	37,955
VY	561	533	95.01%	2,323	39,212
MAHAL	764	533	69.76%	2,324	30,538
RAUF	822	532	64.72%	2,325	28,909
WASHINGTON	177,386	532	0.30%	2,326	145
DAWSON	83,182	532	0.64%	2,327	380
KHIN	579	532	91.88%	2,328	38,265
KHATIWADA	560	531	94.82%	2,329	39,281
QUINN	76,986	531	0.69%	2,330	422
KANDA	783	531	67.82%	2,331	29,986
BOKHARI	701	531	75.75%	2,332	32,750
KITAGAWA	689	531	77.07%	2,333	33,196
FABIAN	13,161	530	4.03%	2,334	2,738
TOMA	4,399	530	12.05%	2,335	7,558
SRIDHARAN	554	530	95.67%	2,336	39,659
OKUDA	635	530	83.46%	2,337	35,447
KUNDU	582	530	91.07%	2,338	38,103
FRIAS	16,911	529	3.13%	2,339	2,144
BARI	1,132	529	46.73%	2,340	22,663
DOUGLAS	101,458	528	0.52%	2,341	311
FERMIN	5,057	528	10.44%	2,342	6,678
REGMI	559	528	94.45%	2,343	39,352
EOM	550	528	96.00%	2,344	39,887
SUNKARA	540	528	97.78%	2,345	40,494
GAUR	571	527	92.29%	2,346	38,691
YA	600	527	87.83%	2,347	37,180
NAVEED	580	527	90.86%	2,348	38,214
SAHOO	562	526	93.59%	2,349	39,164
SUTHAR	559	526	94.10%	2,350	39,352
MAURICIO	5,371	526	9.79%	2,351	6,346
MANNAN	767	526	68.58%	2,352	30,442
BATES	95,622	526	0.55%	2,353	325
BONG	1,208	526	43.54%	2,354	21,599
SAMAD	1,185	525	44.30%	2,355	21,912
ROTH	58,278	525	0.90%	2,356	574
HORI	711	525	73.84%	2,357	32,365
TAIRA	701	525	74.89%	2,358	32,750
KOK	1,622	524	32.31%	2,359	17,398
YOKOTA	655	524	80.00%	2,360	34,539
YALAMANCHILI	547	523	95.61%	2,361	40,082
INOCENCIO	1,643	523	31.83%	2,362	17,239
JAFFER	757	523	69.09%	2,363	30,767
MURAOKA	748	523	69.92%	2,364	31,033
PARKS	88,586	523	0.59%	2,365	354
MEDEIROS	19,031	523	2.75%	2,366	1,889
SAGAR	1,095	522	47.67%	2,367	23,268
DIMAANO	570	522	91.58%	2,368	38,754
NINAN	574	521	90.77%	2,369	38,532
GOHIL	557	521	93.54%	2,370	39,486
ARUMUGAM	544	521	95.77%	2,371	40,261
BASCO	1,436	521	36.28%	2,372	18,984
PARVIN	2,449	521	21.27%	2,373	12,637
GREGORY	91,384	521	0.57%	2,374	339
DELFIN	1,902	520	27.34%	2,375	15,406
SOUN	552	520	94.20%	2,376	39,773
LUKOSE	531	520	97.93%	2,377	41,038
MAGPANTAY	552	519	94.02%	2,378	39,773
MOM	656	519	79.12%	2,379	34,495
JEUNG	583	519	89.02%	2,380	38,050
NAN	773	519	67.14%	2,381	30,277
VILLAFLOR	678	518	76.40%	2,382	33,596
FUKUNAGA	631	518	82.09%	2,383	35,622
JINDAL	542	518	95.57%	2,384	40,371
JABEEN	534	517	96.82%	2,385	40,856
CHATURVEDI	537	516	96.09%	2,386	40,672
GAJJAR	525	516	98.29%	2,387	41,426
HOWELL	112,041	515	0.46%	2,388	272
LOZADA	8,959	515	5.75%	2,389	3,969
SCHWARTZ	90,071	513	0.57%	2,390	345
PASTOR	7,647	513	6.71%	2,391	4,642
MEHDI	784	513	65.43%	2,392	29,947
BANEZ	647	513	79.29%	2,393	34,878
MANABAT	589	513	87.10%	2,394	37,735
OBEROI	589	513	87.10%	2,395	37,735
AMJAD	602	512	85.05%	2,396	37,076
SHAKYA	549	512	93.26%	2,397	39,960
KRISHNASWAMY	537	512	95.34%	2,398	40,672
LAWSON	119,053	512	0.43%	2,399	256
SALEM	8,404	512	6.09%	2,400	4,215
SHINN	8,038	512	6.37%	2,401	4,424
HORN	52,138	511	0.98%	2,402	655
JOU	613	511	83.36%	2,403	36,477
AYSON	675	510	75.56%	2,404	33,731
TEH	611	510	83.47%	2,405	36,585
MONDAL	559	510	91.23%	2,406	39,352
RANJAN	532	510	95.86%	2,407	40,976
HAY	18,029	510	2.83%	2,408	2,005
SOON	750	510	68.00%	2,409	30,980
SAIKI	735	510	69.39%	2,410	31,482
CACHO	2,467	510	20.67%	2,411	12,554
MCCOY	110,744	509	0.46%	2,412	278
NERI	8,094	509	6.29%	2,413	4,394
INES	1,276	509	39.89%	2,414	20,727
MANSOOR	1,170	509	43.50%	2,415	22,113
TONNU	518	509	98.26%	2,416	41,959
NAKAO	646	509	78.79%	2,417	34,916
HAYASHIDA	666	508	76.28%	2,418	34,110
MIRCHANDANI	600	508	84.67%	2,419	37,180
SEONG	532	508	95.49%	2,420	40,976
ALMEIDA	16,760	508	3.03%	2,421	2,166
COSTALES	1,698	508	29.92%	2,422	16,809
PYON	536	507	94.59%	2,423	40,745
SAKURAI	621	507	81.64%	2,424	36,099
AI	615	507	82.44%	2,425	36,379
SANAGUSTIN	967	506	52.33%	2,426	25,535
DORIA	3,074	505	16.43%	2,427	10,459
BARBER	78,848	505	0.64%	2,428	406
FITZGERALD	75,356	505	0.67%	2,429	430
OUCH	552	505	91.49%	2,430	39,773
AKTAR	547	505	92.32%	2,431	40,082
SHASTRI	537	504	93.85%	2,432	40,672
PAGUIO	535	504	94.21%	2,433	40,800
VENKAT	528	504	95.45%	2,434	41,234
KOMATSU	589	504	85.57%	2,435	37,735
BOWMAN	105,007	504	0.48%	2,436	296
LINDSEY	63,760	504	0.79%	2,437	529
SHEK	622	503	80.87%	2,438	36,048
ZUBAIR	630	502	79.68%	2,439	35,671
ONISHI	623	502	80.58%	2,440	35,993
RIMANDO	590	502	85.08%	2,441	37,691
KHAM	581	502	86.40%	2,442	38,155
DEGUIA	568	502	88.38%	2,443	38,850
FOWLER	104,515	502	0.48%	2,444	299
SALEH	9,656	502	5.20%	2,445	3,682
KAMRAN	701	502	71.61%	2,446	32,750
NIAZI	977	501	51.28%	2,447	25,332
VIJAYAKUMAR	514	501	97.47%	2,448	42,237
HIN	648	501	77.31%	2,449	34,835
PANDE	587	501	85.35%	2,450	37,848
ZEE	964	500	51.87%	2,451	25,601
LIEM	717	500	69.74%	2,452	32,169
BAHL	1,871	500	26.72%	2,453	15,615
CHAR	862	499	57.89%	2,454	27,845
BAYLON	1,357	499	36.77%	2,455	19,814
HOO	835	499	59.76%	2,456	28,552
HOLT	87,531	499	0.57%	2,457	358
LUIS	9,255	499	5.39%	2,458	3,827
TAKAYAMA	627	499	79.59%	2,459	35,812
KISHORE	583	499	85.59%	2,460	38,050
HIM	578	499	86.33%	2,461	38,332
NESSA	683	498	72.91%	2,462	33,410
MACK	71,056	497	0.70%	2,463	468
KEALOHA	1,116	497	44.53%	2,464	22,924
ANTOLIN	1,082	497	45.93%	2,465	23,485
TALATI	531	496	93.41%	2,466	41,038
ASAD	1,424	495	34.76%	2,467	19,105
PERSAD	1,395	495	35.48%	2,468	19,379
HENSON	48,013	495	1.03%	2,469	728
PRASHAD	852	494	57.98%	2,470	28,100
LLANES	4,197	494	11.77%	2,471	7,888
KHUN	568	494	86.97%	2,472	38,850
LAMBA	562	494	87.90%	2,473	39,164
RAVINDRAN	526	494	93.92%	2,474	41,359
QUE	681	494	72.54%	2,475	33,499
IZUMI	648	494	76.23%	2,476	34,835
SOLIVEN	628	494	78.66%	2,477	35,764
VINLUAN	595	494	83.03%	2,478	37,442
ALMARIO	621	493	79.39%	2,479	36,099
AO	524	493	94.08%	2,480	41,501
IFTIKHAR	530	492	92.83%	2,481	41,100
TSUKAMOTO	561	491	87.52%	2,482	39,212
IMTIAZ	510	491	96.27%	2,483	42,511
DOYLE	74,458	491	0.66%	2,484	441
PATRICIO	3,636	490	13.48%	2,485	8,994
BATH	2,945	490	16.64%	2,486	10,815
BASRA	541	490	90.57%	2,487	40,432
KHIEV	525	489	93.14%	2,488	41,426
KLEIN	81,471	489	0.60%	2,489	392
ALARCON	18,805	489	2.60%	2,490	1,917
QUINTOS	745	489	65.64%	2,491	31,150
HATTORI	620	488	78.71%	2,492	36,154
GARRETT	110,697	487	0.44%	2,493	279
TERRY	87,000	487	0.56%	2,494	361
MALDONADO	121,526	486	0.40%	2,495	249
ROBERT	12,181	486	3.99%	2,496	2,944
GLORIA	4,878	486	9.96%	2,497	6,888
RAMALINGAM	520	486	93.46%	2,498	41,799
PATNAIK	533	485	90.99%	2,499	40,909
MAHADEVAN	513	485	94.54%	2,500	42,308
NUON	513	485	94.54%	2,501	42,308
LAPID	586	485	82.76%	2,502	37,899
LEONARDO	6,007	485	8.07%	2,503	5,766
RICHARD	53,893	485	0.90%	2,504	629
SOARES	11,694	484	4.14%	2,505	3,069
SILVESTRE	3,550	484	13.63%	2,506	9,190
CUENCA	3,381	483	14.29%	2,507	9,611
BARRIOS	32,873	483	1.47%	2,508	1,067
SARMA	550	483	87.82%	2,509	39,887
ARYAL	526	483	91.83%	2,510	41,359
BHASKAR	523	483	92.35%	2,511	41,579
KONERU	493	483	97.97%	2,512	43,732
NAKAMA	631	482	76.39%	2,513	35,622
KHERA	552	482	87.32%	2,514	39,773
SINGLA	521	482	92.51%	2,515	41,728
FLETCHER	83,063	482	0.58%	2,516	382
LOGAN	67,909	482	0.71%	2,517	492
HARRINGTON	66,959	482	0.72%	2,518	500
GUL	921	482	52.33%	2,519	26,492
SEK	745	482	64.70%	2,520	31,150
LOCK	6,936	481	6.93%	2,521	5,058
MANAHAN	2,673	481	17.99%	2,522	11,722
LUTHRA	544	481	88.42%	2,523	40,261
LODHI	539	481	89.24%	2,524	40,554
TITH	518	481	92.86%	2,525	41,959
NAGARAJ	505	481	95.25%	2,526	42,858
OISHI	611	481	78.72%	2,527	36,585
AZEEM	602	479	79.57%	2,528	37,076
CHANDER	601	479	79.70%	2,529	37,125
LAXAMANA	559	479	85.69%	2,530	39,352
CAPULONG	538	479	89.03%	2,531	40,610
NADKARNI	515	479	93.01%	2,532	42,163
BUSH	84,018	479	0.57%	2,533	372
MEY	1,029	479	46.55%	2,534	24,352
VILLENA	937	479	51.12%	2,535	26,126
TEODORO	1,424	479	33.64%	2,536	19,105
BELEN	1,372	478	34.84%	2,537	19,646
CACHOLA	720	478	66.39%	2,538	32,031
YORK	53,059	478	0.90%	2,539	642
ADAM	13,574	478	3.52%	2,540	2,654
OMAR	7,660	478	6.24%	2,541	4,631
SAJJAD	543	478	88.03%	2,542	40,313
MACAPAGAL	518	478	92.28%	2,543	41,959
CHHENG	506	478	94.47%	2,544	42,790
VUU	490	478	97.55%	2,545	43,969
RAJARAM	548	477	87.04%	2,546	40,016
CONTRACTOR	542	477	88.01%	2,547	40,371
YEM	523	477	91.20%	2,548	41,579
LIAW	522	477	91.38%	2,549	41,657
MUNAR	711	477	67.09%	2,550	32,365
CHANDA	778	476	61.18%	2,551	30,139
NAY	4,826	476	9.86%	2,552	6,949
DULDULAO	571	476	83.36%	2,553	38,691
SABHARWAL	532	476	89.47%	2,554	40,976
MADHAVAN	514	476	92.61%	2,555	42,237
TAKARA	633	476	75.20%	2,556	35,537
FAZAL	628	476	75.80%	2,557	35,764
CHANDY	510	475	93.14%	2,558	42,511
CHANDLER	79,186	475	0.60%	2,559	404
STEVENSON	75,169	474	0.63%	2,560	432
FAUSTINO	1,657	474	28.61%	2,561	17,120
MESINA	819	474	57.88%	2,562	28,998
HAHM	750	474	63.20%	2,563	30,980
TAITANO	855	474	55.44%	2,564	28,023
NHEM	516	474	91.86%	2,565	42,094
PYUN	508	474	93.31%	2,566	42,640
RAMAMURTHY	500	474	94.80%	2,567	43,206
KARTHIKEYAN	490	473	96.53%	2,568	43,969
NAGAMINE	574	473	82.40%	2,569	38,532
KITAMURA	568	473	83.27%	2,570	38,850
VONGPHAKDY	523	473	90.44%	2,571	41,579
CHOUNG	513	473	92.20%	2,572	42,308
SHAFIQ	543	472	86.92%	2,573	40,313
BOU	1,039	472	45.43%	2,574	24,186
HOLLAND	102,538	472	0.46%	2,575	305
MANU	1,098	472	42.99%	2,576	23,222
YASIN	1,969	472	23.97%	2,577	15,002
DENNIS	78,482	471	0.60%	2,578	409
LEONGUERRERO	889	471	52.98%	2,579	27,204
ATLURI	484	471	97.31%	2,580	44,423
YEP	658	471	71.58%	2,581	34,427
OHASHI	606	470	77.56%	2,582	36,838
KHAREL	500	469	93.80%	2,583	43,206
SAEFONG	487	469	96.30%	2,584	44,193
VELEZ	53,265	469	0.88%	2,585	638
SOLIMAN	3,189	469	14.71%	2,586	10,099
CARBONELL	2,718	469	17.26%	2,587	11,568
DIEGO	6,141	469	7.64%	2,588	5,651
STEELE	88,230	468	0.53%	2,589	355
HALE	86,618	468	0.54%	2,590	362
SUR	698	468	67.05%	2,591	32,865
RIZWAN	505	468	92.67%	2,592	42,858
KATARIA	503	467	92.84%	2,593	43,006
SHAM	673	467	69.39%	2,594	33,810
IRANI	938	467	49.79%	2,595	26,110
NORRIS	89,796	467	0.52%	2,596	346
REEVES	81,978	467	0.57%	2,597	390
LITTLE	105,936	466	0.44%	2,598	291
SHARP	78,990	466	0.59%	2,599	405
BURGESS	73,931	466	0.63%	2,600	444
VALLE	31,716	466	1.47%	2,601	1,104
LAKSHMANAN	497	466	93.76%	2,602	43,438
THU	564	466	82.62%	2,603	39,052
KALIA	560	466	83.21%	2,604	39,281
OKIMOTO	624	465	74.52%	2,605	35,945
SIMS	113,374	465	0.41%	2,606	270
HOPKINS	96,810	465	0.48%	2,607	322
SANTAMARIA	12,375	464	3.75%	2,608	2,897
MASTER	2,735	464	16.97%	2,609	11,502
SAKAGUCHI	623	464	74.48%	2,610	35,993
IIDA	609	464	76.19%	2,611	36,695
TZENG	485	463	95.46%	2,612	44,356
TEVES	1,511	463	30.64%	2,613	18,337
NAVAL	713	462	64.80%	2,614	32,302
SAMANIEGO	8,281	462	5.58%	2,615	4,295
MOHABIR	991	462	46.62%	2,616	25,064
PECH	1,877	461	24.56%	2,617	15,579
TAGUCHI	556	461	82.91%	2,618	39,555
ULEP	553	461	83.36%	2,619	39,717
MALABANAN	532	461	86.65%	2,620	40,976
CHARANIA	517	461	89.17%	2,621	42,030
ALIKHAN	606	461	76.07%	2,622	36,838
MOALA	533	460	86.30%	2,623	40,909
YASMIN	515	460	89.32%	2,624	42,163
MUSHTAQ	514	460	89.49%	2,625	42,237
TIM	894	460	51.45%	2,626	27,081
DASILVA	20,338	460	2.26%	2,627	1,767
NEWTON	74,092	459	0.62%	2,628	443
RICO	25,954	459	1.77%	2,629	1,359
DANA	5,723	459	8.02%	2,630	6,008
CHAY	1,212	459	37.87%	2,631	21,535
TANGONAN	555	459	82.70%	2,632	39,607
YUMUL	521	459	88.10%	2,633	41,728
WASEEM	497	459	92.35%	2,634	43,438
PUA	621	459	73.91%	2,635	36,099
HUN	623	458	73.52%	2,636	35,993
BISTA	533	458	85.93%	2,637	40,909
KSOR	497	458	92.15%	2,638	43,438
SEQUEIRA	3,631	458	12.61%	2,639	9,006
TANI	831	458	55.11%	2,640	28,679
CAIN	60,948	457	0.75%	2,641	551
OLSEN	59,356	457	0.77%	2,642	566
ALFARO	35,725	457	1.28%	2,643	975
RAGAN	11,081	457	4.12%	2,644	3,258
DONATO	7,823	457	5.84%	2,645	4,533
SHISHIDO	580	457	78.79%	2,646	38,214
ICHIKAWA	544	456	83.82%	2,647	40,261
WADE	97,040	456	0.47%	2,648	319
DA	714	456	63.87%	2,649	32,268
NEE	3,000	456	15.20%	2,650	10,663
KA	795	455	57.23%	2,651	29,626
FERREIRA	27,898	455	1.63%	2,652	1,260
TEWARI	576	455	78.99%	2,653	38,439
CHAVAN	547	455	83.18%	2,654	40,082
AUJLA	499	455	91.18%	2,655	43,285
VAHORA	485	455	93.81%	2,656	44,356
PATHAN	483	455	94.20%	2,657	44,500
VIJ	475	455	95.79%	2,658	45,105
FUJIKAWA	586	455	77.65%	2,659	37,899
MATSUSHITA	532	454	85.34%	2,660	40,976
ELIAS	24,696	454	1.84%	2,661	1,443
MESA	13,566	454	3.35%	2,662	2,656
DELARA	2,340	454	19.40%	2,663	13,101
HANS	4,427	453	10.23%	2,664	7,516
MARINAS	629	453	72.02%	2,665	35,721
TAKAKI	613	452	73.74%	2,666	36,477
MADARANG	555	452	81.44%	2,667	39,607
SOR	539	452	83.86%	2,668	40,554
CHAKRABARTI	493	452	91.68%	2,669	43,732
CHOKSI	488	452	92.62%	2,670	44,109
INFANTE	11,102	452	4.07%	2,671	3,252
WALTER	48,024	451	0.94%	2,672	727
EUN	467	451	96.57%	2,673	45,740
JANJUA	507	451	88.95%	2,674	42,720
KURIHARA	557	450	80.79%	2,675	39,486
KIANG	520	450	86.54%	2,676	41,799
PRUM	515	450	87.38%	2,677	42,163
SURAPANENI	463	450	97.19%	2,678	46,037
WEBSTER	72,625	450	0.62%	2,679	453
OWEN	61,630	450	0.73%	2,680	543
BANDA	15,055	449	2.98%	2,681	2,409
RAMPERSAD	1,580	449	28.42%	2,682	17,734
MAHADEO	966	449	46.48%	2,683	25,555
LOVE	82,873	448	0.54%	2,684	385
MOCK	15,847	448	2.83%	2,685	2,301
CARVALHO	10,877	448	4.12%	2,686	3,302
MAHESH	488	448	91.80%	2,687	44,109
HAMAMOTO	570	448	78.60%	2,688	38,754
BANU	556	448	80.58%	2,689	39,555
WALIA	532	447	84.02%	2,690	40,976
RAFANAN	627	447	71.29%	2,691	35,812
KURODA	593	447	75.38%	2,692	37,544
PAUDEL	473	447	94.50%	2,693	45,253
HIGGINS	79,803	447	0.56%	2,694	400
ROWE	69,879	447	0.64%	2,695	478
GALLAGHER	69,834	447	0.64%	2,696	479
DEV	529	446	84.31%	2,697	41,164
BAGGA	502	446	88.84%	2,698	43,077
BEG	621	446	71.82%	2,699	36,099
OR	630	445	70.63%	2,700	35,671
OOI	474	445	93.88%	2,701	45,189
HAMMOND	69,515	445	0.64%	2,702	481
ZULUETA	761	445	58.48%	2,703	30,630
RAMA	1,284	445	34.66%	2,704	20,627
SHERMAN	70,502	444	0.63%	2,705	469
PATRICK	60,845	444	0.73%	2,706	552
PETERSEN	58,480	444	0.76%	2,707	571
GIL	26,112	444	1.70%	2,708	1,353
ARANDA	19,298	444	2.30%	2,709	1,861
REGALADO	12,931	444	3.43%	2,710	2,791
PALACIO	8,400	444	5.29%	2,711	4,220
DELCASTILLO	4,013	444	11.06%	2,712	8,254
FARINAS	1,599	444	27.77%	2,713	17,582
ARANAS	606	444	73.27%	2,714	36,838
SAYEED	543	444	81.77%	2,715	40,313
BHIMANI	487	443	90.97%	2,716	44,193
KAUSAR	460	443	96.30%	2,717	46,314
HORTON	85,195	443	0.52%	2,718	367
TARIN	4,524	443	9.79%	2,719	7,363
PASCO	2,695	443	16.44%	2,720	11,631
CHIONG	734	443	60.35%	2,721	31,516
TADEO	2,610	442	16.93%	2,722	11,970
CROSS	77,557	442	0.57%	2,723	420
ROCHA	55,251	442	0.80%	2,724	613
CAPARAS	498	442	88.76%	2,725	43,369
SHABBIR	488	441	90.37%	2,726	44,109
TIET	461	441	95.66%	2,727	46,219
DEASIS	604	441	73.01%	2,728	36,970
FISCHER	72,357	441	0.61%	2,729	455
ROMANO	29,018	441	1.52%	2,730	1,219
RAN	728	441	60.58%	2,731	31,724
MORE	4,432	441	9.95%	2,732	7,512
BEE	4,480	440	9.82%	2,733	7,434
KAU	919	440	47.88%	2,734	26,534
SOLANO	24,881	440	1.77%	2,735	1,430
MOHAPATRA	455	440	96.70%	2,736	46,725
BALUYUT	496	439	88.51%	2,737	43,511
SAESEE	469	439	93.60%	2,738	45,569
GANAPATHY	460	439	95.43%	2,739	46,314
DSILVA	576	439	76.22%	2,740	38,439
OMORI	575	439	76.35%	2,741	38,484
WADHWANI	521	439	84.26%	2,742	41,728
CASEY	66,556	439	0.66%	2,743	504
JIM	3,544	439	12.39%	2,744	9,203
HALILI	693	439	63.35%	2,745	33,036
QADIR	703	438	62.30%	2,746	32,676
JARED	2,075	438	21.11%	2,747	14,405
PIZARRO	7,446	438	5.88%	2,748	4,755
UENO	502	438	87.25%	2,749	43,077
PHENG	462	438	94.81%	2,750	46,138
YOSHINO	589	438	74.36%	2,751	37,735
BARAL	677	437	64.55%	2,752	33,645
BIN	621	437	70.37%	2,753	36,099
PARAISO	579	437	75.47%	2,754	38,265
NISHIOKA	562	437	77.76%	2,755	39,164
SOMANI	460	437	95.00%	2,756	46,314
ZAW	459	437	95.21%	2,757	46,404
ROA	6,221	437	7.02%	2,758	5,589
SUTTON	90,964	437	0.48%	2,759	341
CANO	37,368	437	1.17%	2,760	931
WOLFE	83,928	436	0.52%	2,761	374
JAYAKUMAR	454	436	96.04%	2,762	46,811
BABY	614	436	71.01%	2,763	36,426
MAGSINO	469	435	92.75%	2,764	45,569
RAVICHANDRAN	455	435	95.60%	2,765	46,725
AYALA	92,463	435	0.47%	2,766	333
RHODES	90,670	435	0.48%	2,767	343
MATTA	5,610	435	7.75%	2,768	6,111
BREWER	103,318	434	0.42%	2,769	303
BOWEN	78,822	434	0.55%	2,770	407
MCLAUGHLIN	74,816	434	0.58%	2,771	437
MEYERS	57,127	434	0.76%	2,772	586
MAZUMDER	477	434	90.99%	2,773	44,957
PACIS	471	434	92.14%	2,774	45,412
XUAN	445	434	97.53%	2,775	47,614
MADAYAG	551	434	78.77%	2,776	39,837
SAKUMA	536	433	80.78%	2,777	40,745
HIROSE	523	433	82.79%	2,778	41,579
SHIRAISHI	512	433	84.57%	2,779	42,378
NAND	627	433	69.06%	2,780	35,812
KHAMVONGSA	484	433	89.46%	2,781	44,423
ZIMMERMAN	83,265	433	0.52%	2,782	379
TATE	71,058	433	0.61%	2,783	467
NAKAI	1,205	432	35.85%	2,784	21,633
RAMKISSOON	1,152	432	37.50%	2,785	22,359
RANGARAJAN	441	432	97.96%	2,786	47,966
HATA	545	432	79.27%	2,787	40,204
MANZOOR	524	432	82.44%	2,788	41,501
TONGA	578	431	74.57%	2,789	38,332
NAGAO	541	431	79.67%	2,790	40,432
RAGASA	503	431	85.69%	2,791	43,006
NIM	478	431	90.17%	2,792	44,872
SAIYED	449	431	95.99%	2,793	47,272
MUKHOPADHYAY	446	431	96.64%	2,794	47,521
MALLA	650	431	66.31%	2,795	34,758
DOH	603	431	71.48%	2,796	37,029
GALVAN	53,822	431	0.80%	2,797	630
GORE	25,648	431	1.68%	2,798	1,378
ESCALANTE	20,626	431	2.09%	2,799	1,736
WATTS	89,649	430	0.48%	2,800	348
GRIFFITH	78,260	430	0.55%	2,801	414
CLARKE	68,281	430	0.63%	2,802	487
DURRANI	605	430	71.07%	2,803	36,900
HOR	506	430	84.98%	2,804	42,790
EA	496	430	86.69%	2,805	43,511
RESPICIO	603	429	71.14%	2,806	37,029
BLAIR	78,026	429	0.55%	2,807	416
BARRIENTOS	18,877	429	2.27%	2,808	1,905
JAY	9,852	429	4.35%	2,809	3,604
HOY	9,196	429	4.67%	2,810	3,855
CAYETANO	2,167	429	19.80%	2,811	13,933
BUGARIN	2,915	428	14.68%	2,812	10,919
HARI	804	428	53.23%	2,813	29,403
NAVA	39,670	428	1.08%	2,814	874
SHEEN	2,118	428	20.21%	2,815	14,178
VASWANI	489	428	87.53%	2,816	44,034
POTLURI	449	428	95.32%	2,817	47,272
MAZHAR	520	428	82.31%	2,818	41,799
TAKESHITA	509	428	84.09%	2,819	42,579
MIYATA	508	428	84.25%	2,820	42,640
KUDO	526	427	81.18%	2,821	41,359
SHYU	438	427	97.49%	2,822	48,256
RABAGO	2,794	427	15.28%	2,823	11,302
CHAMBERS	94,988	427	0.45%	2,824	326
WOLF	70,031	427	0.61%	2,825	474
NORMAN	67,704	427	0.63%	2,826	495
GRACE	28,098	427	1.52%	2,827	1,248
LEA	9,180	427	4.65%	2,828	3,863
ESPINOZA	112,154	426	0.38%	2,829	271
OKI	604	426	70.53%	2,830	36,970
RAFIQUE	478	426	89.12%	2,831	44,872
BATAC	465	426	91.61%	2,832	45,886
BINDRA	474	425	89.66%	2,833	45,189
PHANTHAVONG	466	425	91.20%	2,834	45,804
TUAN	465	425	91.40%	2,835	45,886
LHAMO	440	425	96.59%	2,836	48,060
RYOO	437	425	97.25%	2,837	48,347
REGALA	537	425	79.14%	2,838	40,672
SHELTON	90,517	425	0.47%	2,839	344
OCHOA	78,677	425	0.54%	2,840	408
SOTELO	21,455	425	1.98%	2,841	1,679
MAMMEN	1,131	425	37.58%	2,842	22,673
ZARATE	20,992	424	2.02%	2,843	1,713
SILVERIO	3,848	424	11.02%	2,844	8,559
GASCON	2,190	424	19.36%	2,845	13,806
MAGAR	831	424	51.02%	2,846	28,679
IGE	780	424	54.36%	2,847	30,076
NAYAR	522	424	81.23%	2,848	41,657
FLORESCA	520	424	81.54%	2,849	41,799
VENKATRAMAN	442	424	95.93%	2,850	47,878
MURAMOTO	501	423	84.43%	2,851	43,151
UNTALAN	557	423	75.94%	2,852	39,486
DUNGCA	528	423	80.11%	2,853	41,234
VAKIL	521	423	81.19%	2,854	41,728
ARUNACHALAM	439	423	96.36%	2,855	48,160
NAKATANI	601	423	70.38%	2,856	37,125
PIN	689	423	61.39%	2,857	33,196
LYONS	84,516	423	0.50%	2,858	369
ZUNIGA	56,347	423	0.75%	2,859	600
RAYMOND	40,275	423	1.05%	2,860	857
FRENCH	63,991	422	0.66%	2,861	525
GINES	2,832	422	14.90%	2,862	11,170
ARGUELLES	4,837	422	8.72%	2,863	6,932
CHUGH	473	422	89.22%	2,864	45,253
ZAHEER	512	421	82.23%	2,865	42,378
CANETE	1,007	421	41.81%	2,866	24,747
CHOCK	952	420	44.12%	2,867	25,849
BALDWIN	80,742	420	0.52%	2,868	395
MANNING	74,949	420	0.56%	2,869	434
LARSEN	55,960	420	0.75%	2,870	606
BERNARD	38,512	420	1.09%	2,871	899
MONTANO	27,276	420	1.54%	2,872	1,286
TAKETA	559	420	75.13%	2,873	39,352
HIRA	513	420	81.87%	2,874	42,308
MAJUMDER	455	420	92.31%	2,875	46,725
DOU	500	419	83.80%	2,876	43,206
AHAMED	550	419	76.18%	2,877	39,887
BARROGA	503	419	83.30%	2,878	43,006
FIELDS	107,522	419	0.39%	2,879	288
LAMB	59,913	419	0.70%	2,880	561
MAHABIR	1,242	419	33.74%	2,881	21,144
MCGUIRE	64,327	418	0.65%	2,882	521
FLYNN	63,400	418	0.66%	2,883	534
HOWE	42,265	418	0.99%	2,884	820
QUINTANILLA	22,581	418	1.85%	2,885	1,586
